Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Time until next event of timer 'revisonnDiaria' is '0' Hours.
0;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0' Hours.
0;--;--;--;--;Firing event 'revisonnDiaria.Event'.
0;--;--;--;--;Time until next event of timer 'revisonnDiaria' is '24' Hours.
0;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.00655278052637456' Hours.
0;Source1;Source1;0.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0;Source1;Source1;0.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0;Source1;Source1;0.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.208'.
0;DefaultEntity.208;Source1;1.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.208' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0;Source1;Source1;0.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0;DefaultEntity.208;Source1;2.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0;DefaultEntity.208;Source1;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.208' ending transfer into station 'Source1.Processing'.
0;DefaultEntity.208;Source1;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.208' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0;DefaultEntity.208;Source1;1.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0;DefaultEntity.208;Source1;0.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0;DefaultEntity.208;Source1;0.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.208' ending transfer into station 'Source1.OutputBuffer'.
0;DefaultEntity.208;Source1;0.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.208.Priority' the value '1'. Previous value was '1'.
0;DefaultEntity.208;Source1;0.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.208' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0;DefaultEntity.208;Output@Source1;1.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0;DefaultEntity.208;Output@Source1;1.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0;DefaultEntity.208;Output@Source1;1.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0;DefaultEntity.208;Model;3.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0;DefaultEntity.208;Model;3.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.208.Picture' the value '1'. Previous value was '0'.
0;DefaultEntity.208;Model;3.cambioImagen;[End];Process 'cambioImagen' execution ended.
0;DefaultEntity.208;Output@Source1;1.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.208' transferring from '[Node] Output@Source1' onto link 'Path22'.
0;DefaultEntity.208;Path22;3.OnEntered;[Begin];Process 'Path22.OnEntered' execution started.
0;DefaultEntity.208;Path22;3.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.208.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0;DefaultEntity.208;Path22;3.OnEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.208' ending transfer onto link 'Path22'.
0;DefaultEntity.208;Path22;3.OnEntered;[End];Process 'Path22.OnEntered' execution ended.
0;DefaultEntity.208;Source1;2.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0;DefaultEntity.208;Source1;0.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0;DefaultEntity.208;Output@Source1;1.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.00043107203967873;DefaultEntity.208;Output@Source1;1.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.00043107203967873;DefaultEntity.208;Output@Source1;1.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
0.00043107203967873;DefaultEntity.208;Output@Source1;1.OnExited;[End];Process 'Output@Source1.OnExited' execution ended.
0.00655278052637456;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0.00655278052637456;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.00277133702366575' Hours.
0.00655278052637456;Source1;Source1;1.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0.00655278052637456;Source1;Source1;1.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0.00655278052637456;Source1;Source1;1.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.209'.
0.00655278052637456;DefaultEntity.209;Source1;0.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.209' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0.00655278052637456;Source1;Source1;1.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.00655278052637456;DefaultEntity.209;Source1;2.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0.00655278052637456;DefaultEntity.209;Source1;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.209' ending transfer into station 'Source1.Processing'.
0.00655278052637456;DefaultEntity.209;Source1;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.209' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0.00655278052637456;DefaultEntity.209;Source1;0.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.00655278052637456;DefaultEntity.209;Source1;1.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0.00655278052637456;DefaultEntity.209;Source1;1.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.209' ending transfer into station 'Source1.OutputBuffer'.
0.00655278052637456;DefaultEntity.209;Source1;1.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.209.Priority' the value '1'. Previous value was '1'.
0.00655278052637456;DefaultEntity.209;Source1;1.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.209' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0.00655278052637456;DefaultEntity.209;Output@Source1;0.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0.00655278052637456;DefaultEntity.209;Output@Source1;0.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0.00655278052637456;DefaultEntity.209;Output@Source1;0.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0.00655278052637456;DefaultEntity.209;Model;3.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0.00655278052637456;DefaultEntity.209;Model;3.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.209.Picture' the value '1'. Previous value was '0'.
0.00655278052637456;DefaultEntity.209;Model;3.cambioImagen;[End];Process 'cambioImagen' execution ended.
0.00655278052637456;DefaultEntity.209;Output@Source1;0.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.209' transferring from '[Node] Output@Source1' onto link 'Path22'.
0.00655278052637456;DefaultEntity.209;Path22;3.OnEntered;[Begin];Process 'Path22.OnEntered' execution started.
0.00655278052637456;DefaultEntity.209;Path22;3.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.209.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0.00655278052637456;DefaultEntity.209;Path22;3.OnEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.209' ending transfer onto link 'Path22'.
0.00655278052637456;DefaultEntity.209;Path22;3.OnEntered;[End];Process 'Path22.OnEntered' execution ended.
0.00655278052637456;DefaultEntity.209;Source1;2.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0.00655278052637456;DefaultEntity.209;Source1;1.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0.00655278052637456;DefaultEntity.209;Output@Source1;0.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.00698385256605329;DefaultEntity.209;Output@Source1;0.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.00698385256605329;DefaultEntity.209;Output@Source1;0.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
0.00698385256605329;DefaultEntity.209;Output@Source1;0.OnExited;[End];Process 'Output@Source1.OnExited' execution ended.
0.0093241175500403;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0.0093241175500403;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.00374468609968789' Hours.
0.0093241175500403;Source1;Source1;0.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0.0093241175500403;Source1;Source1;0.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0.0093241175500403;Source1;Source1;0.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.210'.
0.0093241175500403;DefaultEntity.210;Source1;1.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.210' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0.0093241175500403;Source1;Source1;0.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0093241175500403;DefaultEntity.210;Source1;2.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0.0093241175500403;DefaultEntity.210;Source1;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.210' ending transfer into station 'Source1.Processing'.
0.0093241175500403;DefaultEntity.210;Source1;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.210' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0.0093241175500403;DefaultEntity.210;Source1;1.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0093241175500403;DefaultEntity.210;Source1;0.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0.0093241175500403;DefaultEntity.210;Source1;0.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.210' ending transfer into station 'Source1.OutputBuffer'.
0.0093241175500403;DefaultEntity.210;Source1;0.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.210.Priority' the value '1'. Previous value was '1'.
0.0093241175500403;DefaultEntity.210;Source1;0.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.210' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0.0093241175500403;DefaultEntity.210;Output@Source1;1.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0.0093241175500403;DefaultEntity.210;Output@Source1;1.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0.0093241175500403;DefaultEntity.210;Output@Source1;1.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0.0093241175500403;DefaultEntity.210;Model;3.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0.0093241175500403;DefaultEntity.210;Model;3.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.210.Picture' the value '1'. Previous value was '0'.
0.0093241175500403;DefaultEntity.210;Model;3.cambioImagen;[End];Process 'cambioImagen' execution ended.
0.0093241175500403;DefaultEntity.210;Output@Source1;1.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.210' transferring from '[Node] Output@Source1' onto link 'Path21'.
0.0093241175500403;DefaultEntity.210;Path21;3.OnEntered;[Begin];Process 'Path21.OnEntered' execution started.
0.0093241175500403;DefaultEntity.210;Path21;3.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.210.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0.0093241175500403;DefaultEntity.210;Path21;3.OnEntered;[End];Process 'Path21.OnEntered' execution ended.
0.0093241175500403;DefaultEntity.210;Source1;2.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0.00975518958971903;DefaultEntity.210;Output@Source1;2.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.00975518958971903;DefaultEntity.210;Output@Source1;2.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
0.00975518958971903;DefaultEntity.210;Output@Source1;2.OnExited;[End];Process 'Output@Source1.OnExited' execution ended.
0.00975518958971903;DefaultEntity.210;Path21;2.OnTrailingEdgeEntered;[Begin];Process 'Path21.OnTrailingEdgeEntered' execution started.
0.00975518958971903;DefaultEntity.210;Path21;2.OnTrailingEdgeEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.210' ending transfer onto link 'Path21'.
0.00975518958971903;DefaultEntity.210;Path21;2.OnTrailingEdgeEntered;[End];Process 'Path21.OnTrailingEdgeEntered' execution ended.
0.00975518958971903;DefaultEntity.210;Source1;0.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0.00975518958971903;DefaultEntity.210;Output@Source1;1.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.0130688036497282;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0.0130688036497282;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.000214897046345979' Hours.
0.0130688036497282;Source1;Source1;1.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0.0130688036497282;Source1;Source1;1.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0.0130688036497282;Source1;Source1;1.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.211'.
0.0130688036497282;DefaultEntity.211;Source1;0.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.211' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0.0130688036497282;Source1;Source1;1.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0130688036497282;DefaultEntity.211;Source1;2.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0.0130688036497282;DefaultEntity.211;Source1;2.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.211' ending transfer into station 'Source1.Processing'.
0.0130688036497282;DefaultEntity.211;Source1;2.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.211' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0.0130688036497282;DefaultEntity.211;Source1;0.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0130688036497282;DefaultEntity.211;Source1;1.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0.0130688036497282;DefaultEntity.211;Source1;1.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.211' ending transfer into station 'Source1.OutputBuffer'.
0.0130688036497282;DefaultEntity.211;Source1;1.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.211.Priority' the value '0'. Previous value was '1'.
0.0130688036497282;DefaultEntity.211;Source1;1.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.211' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0.0130688036497282;DefaultEntity.211;Output@Source1;0.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0.0130688036497282;DefaultEntity.211;Output@Source1;0.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0.0130688036497282;DefaultEntity.211;Output@Source1;0.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0.0130688036497282;DefaultEntity.211;Model;3.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0.0130688036497282;DefaultEntity.211;Model;3.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.211.Picture' the value '0'. Previous value was '0'.
0.0130688036497282;DefaultEntity.211;Model;3.cambioImagen;[End];Process 'cambioImagen' execution ended.
0.0130688036497282;DefaultEntity.211;Output@Source1;0.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.211' transferring from '[Node] Output@Source1' onto link 'Path19'.
0.0130688036497282;DefaultEntity.211;Path19;3.OnEntered;[Begin];Process 'Path19.OnEntered' execution started.
0.0130688036497282;DefaultEntity.211;Path19;3.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.211.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0.0130688036497282;DefaultEntity.211;Path19;3.OnEntered;[End];Process 'Path19.OnEntered' execution ended.
0.0130688036497282;DefaultEntity.211;Source1;2.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0.0132837006960742;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0.0132837006960742;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.000683620570840782' Hours.
0.0132837006960742;Source1;Source1;2.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0.0132837006960742;Source1;Source1;2.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0.0132837006960742;Source1;Source1;2.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.212'.
0.0132837006960742;DefaultEntity.212;Source1;3.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.212' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0.0132837006960742;Source1;Source1;2.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0132837006960742;DefaultEntity.212;Source1;4.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0.0132837006960742;DefaultEntity.212;Source1;4.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.212' ending transfer into station 'Source1.Processing'.
0.0132837006960742;DefaultEntity.212;Source1;4.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.212' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0.0132837006960742;DefaultEntity.212;Source1;3.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.0132837006960742;DefaultEntity.212;Source1;2.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0.0132837006960742;DefaultEntity.212;Source1;2.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.212' ending transfer into station 'Source1.OutputBuffer'.
0.0132837006960742;DefaultEntity.212;Source1;2.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.212.Priority' the value '0'. Previous value was '1'.
0.0132837006960742;DefaultEntity.212;Source1;2.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.212' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
